,A,B,exp_value,fidelity
0,23,32,0.9669372333097935,0.9834686166548967
1,32,23,0.9669372333097935,0.9834686166548967
2,23,35,0.9966014600485364,0.9983007300242682
3,35,23,0.9966014600485364,0.9983007300242682
4,23,36,0.9911718712853309,0.9955859356426655
5,36,23,0.9911718712853309,0.9955859356426655
6,23,37,0.9960743003591435,0.9980371501795717
7,37,23,0.9960743003591435,0.9980371501795717
8,23,50,0.9972290097891154,0.9986145048945577
9,50,23,0.9972290097891154,0.9986145048945577
10,23,53,0.9978616393305433,0.9989308196652716
11,53,23,0.9978616393305433,0.9989308196652716
12,23,55,0.9981419931734284,0.9990709965867142
13,55,23,0.9981419931734284,0.9990709965867142
14,23,57,0.9975398839253323,0.9987699419626661
15,57,23,0.9975398839253323,0.9987699419626661
16,23,59,0.9950196446902275,0.9975098223451138
17,59,23,0.9950196446902275,0.9975098223451138
18,23,63,0.9640300704722242,0.9820150352361121
19,63,23,0.9640300704722242,0.9820150352361121
20,23,67,0.9955823531268836,0.9977911765634417
21,67,23,0.9955823531268836,0.9977911765634417
22,23,69,0.9948967914351228,0.9974483957175614
23,69,23,0.9948967914351228,0.9974483957175614
24,23,74,0.994869584234465,0.9974347921172325
25,74,23,0.994869584234465,0.9974347921172325
26,23,77,0.9957689275116222,0.9978844637558111
27,77,23,0.9957689275116222,0.9978844637558111
28,23,81,0.9915323149467956,0.9957661574733978
29,81,23,0.9915323149467956,0.9957661574733978
30,23,82,0.9930543490828008,0.9965271745414004
31,82,23,0.9930543490828008,0.9965271745414004
32,23,83,0.9974449498651706,0.9987224749325854
33,83,23,0.9974449498651706,0.9987224749325854
34,23,84,0.9936549070520058,0.9968274535260029
35,84,23,0.9936549070520058,0.9968274535260029
36,23,85,0.9908778144798344,0.9954389072399172
37,85,23,0.9908778144798344,0.9954389072399172
38,23,93,0.9905568916500237,0.9952784458250119
39,93,23,0.9905568916500237,0.9952784458250119
40,23,98,0.9972546417930153,0.9986273208965076
41,98,23,0.9972546417930153,0.9986273208965076
