,A,B,gates,depth,2-gates,Gates
55,23,345,378,283,68,"Counter({'sx': 162, 'rz': 138, 'cz': 68, 'x': 6, 'measure': 4})"
56,23,346,384,290,70,"Counter({'sx': 163, 'rz': 139, 'cz': 70, 'x': 8, 'measure': 4})"
57,23,351,387,297,72,"Counter({'sx': 165, 'rz': 139, 'cz': 72, 'x': 7, 'measure': 4})"
58,23,353,380,287,68,"Counter({'sx': 162, 'rz': 139, 'cz': 68, 'x': 7, 'measure': 4})"
59,23,354,382,286,68,"Counter({'sx': 162, 'rz': 141, 'cz': 68, 'x': 7, 'measure': 4})"
60,23,365,386,297,72,"Counter({'sx': 165, 'rz': 138, 'cz': 72, 'x': 7, 'measure': 4})"
61,23,380,382,286,70,"Counter({'sx': 165, 'rz': 136, 'cz': 70, 'x': 7, 'measure': 4})"
62,23,383,385,289,70,"Counter({'sx': 165, 'rz': 138, 'cz': 70, 'x': 8, 'measure': 4})"
63,23,404,381,284,68,"Counter({'sx': 162, 'rz': 140, 'cz': 68, 'x': 7, 'measure': 4})"
64,23,406,381,287,70,"Counter({'sx': 165, 'rz': 135, 'cz': 70, 'x': 7, 'measure': 4})"
65,23,411,373,280,68,"Counter({'sx': 162, 'rz': 133, 'cz': 68, 'x': 6, 'measure': 4})"
66,23,416,379,288,70,"Counter({'sx': 163, 'rz': 136, 'cz': 70, 'x': 6, 'measure': 4})"
67,23,419,377,287,70,"Counter({'sx': 163, 'rz': 134, 'cz': 70, 'x': 6, 'measure': 4})"
68,23,420,383,289,68,"Counter({'sx': 162, 'rz': 142, 'cz': 68, 'x': 7, 'measure': 4})"
69,23,421,384,297,72,"Counter({'sx': 165, 'rz': 136, 'cz': 72, 'x': 7, 'measure': 4})"
70,23,424,378,287,70,"Counter({'sx': 163, 'rz': 134, 'cz': 70, 'x': 7, 'measure': 4})"
71,23,425,378,285,68,"Counter({'sx': 162, 'rz': 137, 'cz': 68, 'x': 7, 'measure': 4})"
