,A,B,gates,depth,2-gates,Gates
55,23,345,570,411,110,"Counter({'sx': 244, 'rz': 192, 'cz': 110, 'x': 20, 'measure': 4})"
56,23,346,588,403,106,"Counter({'sx': 249, 'rz': 209, 'cz': 106, 'x': 20, 'measure': 4})"
57,23,351,588,400,106,"Counter({'sx': 249, 'rz': 208, 'cz': 106, 'x': 21, 'measure': 4})"
58,23,353,595,407,108,"Counter({'sx': 252, 'rz': 209, 'cz': 108, 'x': 22, 'measure': 4})"
59,23,354,566,401,108,"Counter({'sx': 243, 'rz': 189, 'cz': 108, 'x': 22, 'measure': 4})"
60,23,365,587,403,106,"Counter({'sx': 249, 'rz': 208, 'cz': 106, 'x': 20, 'measure': 4})"
61,23,380,587,402,106,"Counter({'sx': 249, 'rz': 207, 'cz': 106, 'x': 21, 'measure': 4})"
62,23,383,587,398,106,"Counter({'sx': 249, 'rz': 206, 'cz': 106, 'x': 22, 'measure': 4})"
63,23,404,567,405,110,"Counter({'sx': 242, 'rz': 191, 'cz': 110, 'x': 20, 'measure': 4})"
64,23,406,566,403,110,"Counter({'sx': 242, 'rz': 189, 'cz': 110, 'x': 21, 'measure': 4})"
65,23,411,586,401,106,"Counter({'sx': 249, 'rz': 207, 'cz': 106, 'x': 20, 'measure': 4})"
66,23,416,591,407,108,"Counter({'sx': 252, 'rz': 206, 'cz': 108, 'x': 21, 'measure': 4})"
67,23,419,586,399,106,"Counter({'sx': 249, 'rz': 206, 'cz': 106, 'x': 21, 'measure': 4})"
68,23,420,588,404,106,"Counter({'sx': 249, 'rz': 208, 'cz': 106, 'x': 21, 'measure': 4})"
69,23,421,564,400,108,"Counter({'sx': 243, 'rz': 189, 'cz': 108, 'x': 20, 'measure': 4})"
70,23,424,562,401,108,"Counter({'sx': 243, 'rz': 188, 'cz': 108, 'x': 19, 'measure': 4})"
71,23,425,567,408,110,"Counter({'sx': 242, 'rz': 191, 'cz': 110, 'x': 20, 'measure': 4})"
72,23,426,715,447,138,"Counter({'sx': 321, 'rz': 231, 'cz': 138, 'x': 21, 'measure': 4})"
73,23,428,582,398,106,"Counter({'sx': 249, 'rz': 202, 'cz': 106, 'x': 21, 'measure': 4})"
74,23,435,589,400,106,"Counter({'sx': 249, 'rz': 208, 'cz': 106, 'x': 22, 'measure': 4})"
75,32,35,577,407,110,"Counter({'sx': 245, 'rz': 194, 'cz': 110, 'x': 24, 'measure': 4})"
