,A,B,gates,depth,2-gates,RZ,SX,CZ
176,35,117,387,290,72,134,166,72
177,35,165,379,281,68,137,160,68
178,35,166,380,284,70,134,161,70
179,35,198,386,290,72,133,166,72
180,35,199,383,286,70,133,165,70
181,35,233,380,279,68,138,160,68
182,35,234,379,279,68,137,160,68
183,35,240,387,290,72,135,166,72
184,35,241,386,288,70,139,161,70
185,35,249,382,285,70,136,161,70
186,35,251,384,286,70,137,161,70
187,35,252,379,282,70,133,161,70
188,35,254,389,290,72,136,166,72
189,35,256,382,281,68,139,160,68
190,35,261,391,294,72,137,166,72
191,35,262,378,281,68,136,160,68
192,35,263,379,280,68,137,160,68
193,35,302,385,288,72,132,166,72
194,35,306,378,280,68,135,160,68
195,35,317,382,284,68,139,160,68
196,35,325,373,275,68,130,160,68
197,35,334,378,282,70,132,161,70
198,35,335,381,284,70,135,161,70
199,35,336,383,287,70,137,161,70
200,35,337,390,291,72,137,166,72
201,35,342,386,284,70,137,165,70
202,35,345,380,280,68,138,160,68
203,35,346,384,287,70,137,161,70
204,35,351,383,283,68,140,160,68
205,35,353,383,283,68,140,160,68
206,35,354,382,283,68,140,160,68
207,35,365,390,292,72,137,166,72
208,35,380,380,284,70,134,161,70
209,35,383,377,281,70,132,161,70
210,35,404,388,287,70,138,165,70
211,35,406,386,285,70,136,165,70
212,35,411,392,292,72,138,166,72
213,35,416,387,289,70,137,165,70
214,35,419,383,281,68,140,160,68
215,35,420,384,289,70,138,161,70
216,35,421,378,281,70,133,161,70
217,35,424,378,281,68,135,160,68
218,35,425,391,293,72,137,166,72
219,35,426,380,283,70,133,161,70
220,35,428,386,287,70,136,165,70
221,35,435,387,289,72,135,166,72
222,36,37,371,280,70,127,163,70
223,36,50,377,286,72,127,166,72
224,36,53,376,287,72,127,166,72
225,36,55,378,283,70,132,165,70
226,36,57,366,272,68,126,162,68
227,36,59,377,286,72,127,166,72
228,36,63,372,283,72,124,166,72
229,36,67,366,272,68,126,162,68
230,36,69,379,287,72,130,166,72
231,36,74,375,286,72,126,166,72
232,36,77,374,281,70,129,163,70
233,36,81,371,281,72,123,166,72
234,36,82,372,278,70,127,165,70
235,36,83,380,288,72,131,166,72
236,36,84,368,273,68,128,162,68
237,36,85,368,273,68,128,162,68
238,36,93,370,279,70,126,163,70
239,36,98,373,281,70,129,163,70
240,36,99,369,278,68,128,162,68
241,36,104,367,273,68,127,162,68
242,36,106,370,279,70,126,163,70
243,36,107,368,275,68,128,162,68
244,36,109,369,278,70,124,163,70
245,36,113,370,279,70,127,163,70
246,36,114,370,281,70,126,163,70
247,36,115,375,281,70,129,165,70
248,36,117,369,278,70,125,163,70
249,36,165,374,284,72,125,166,72
250,36,166,370,279,70,126,163,70
251,36,198,370,280,70,126,163,70
252,36,199,367,277,70,122,163,70
253,36,233,371,279,70,127,163,70
254,36,234,370,279,70,127,163,70
255,36,240,372,282,72,124,166,72
256,36,241,378,286,70,132,165,70
257,36,249,373,277,68,132,162,68
258,36,251,374,281,70,129,163,70
259,36,252,368,273,68,127,162,68
260,36,254,378,286,72,129,166,72
261,36,256,372,276,68,131,162,68
262,36,261,378,288,72,128,166,72
263,36,262,368,276,68,128,162,68
264,36,263,367,273,68,127,162,68
265,36,302,372,282,72,123,166,72
266,36,306,368,275,68,127,162,68
267,36,317,377,285,70,131,165,70
268,36,325,363,270,68,122,162,68
269,36,334,367,273,68,127,162,68
270,36,335,370,277,68,129,162,68
271,36,336,373,282,70,129,163,70
272,36,337,371,277,68,130,162,68
273,36,342,374,283,72,125,166,72
274,36,345,376,285,72,128,166,72
275,36,346,374,282,70,129,163,70
276,36,351,372,281,70,127,163,70
277,36,353,373,278,68,132,162,68
278,36,354,377,284,70,132,165,70
279,36,365,376,284,70,130,165,70
280,36,380,367,274,68,127,162,68
281,36,383,367,272,68,127,162,68
282,36,404,372,277,68,131,162,68
283,36,406,372,281,72,123,166,72
284,36,411,379,286,72,129,166,72
285,36,416,378,287,72,128,166,72
286,36,419,372,279,70,128,163,70
287,36,420,379,290,72,130,166,72
288,36,421,375,284,72,127,166,72
289,36,424,368,276,68,127,162,68
290,36,425,378,287,72,128,166,72
291,36,426,371,275,68,130,162,68
292,36,428,376,284,72,126,166,72
293,36,435,374,283,72,126,166,72
294,37,50,380,285,68,139,162,68
295,37,53,380,289,70,136,163,70
296,37,55,381,290,70,136,163,70
297,37,57,378,287,70,134,163,70
298,37,59,384,293,72,134,166,72
299,37,63,375,283,68,135,162,68
300,37,67,379,287,70,135,163,70
301,37,69,388,291,70,142,165,70
302,37,74,379,288,70,135,163,70
303,37,77,383,287,70,137,165,70
304,37,81,375,279,68,135,162,68
305,37,82,383,291,72,134,166,72
306,37,83,382,290,70,138,163,70
307,37,84,379,287,72,131,166,72
308,37,85,377,281,68,137,162,68
309,37,93,382,290,72,133,166,72
310,37,98,385,294,72,136,166,72
311,37,99,376,286,68,135,162,68
312,37,104,383,290,72,134,166,72
313,37,106,377,283,68,137,162,68
314,37,107,377,283,68,137,162,68
315,37,109,378,286,70,133,163,70
316,37,113,380,284,68,140,162,68
317,37,114,378,285,68,138,162,68
318,37,115,384,290,70,138,165,70
319,37,117,376,285,68,135,162,68
320,37,165,376,284,68,136,162,68
321,37,166,375,283,68,135,162,68
322,37,198,376,282,68,136,162,68
323,37,199,374,285,70,129,163,70
324,37,233,380,287,70,136,163,70
325,37,234,379,287,70,136,163,70
326,37,240,376,284,70,133,163,70
327,37,241,390,298,72,140,166,72
328,37,249,384,293,72,135,166,72
329,37,251,381,289,70,136,163,70
330,37,252,377,281,68,136,162,68
331,37,254,377,284,68,136,162,68
332,37,256,383,292,72,133,166,72
333,37,261,377,286,68,136,162,68
334,37,262,376,286,70,133,163,70
335,37,263,377,286,70,133,163,70
336,37,302,378,285,70,133,165,70
337,37,306,375,283,68,134,162,68
338,37,317,380,289,70,136,163,70
339,37,325,372,278,68,131,162,68
340,37,334,378,283,68,138,162,68
341,37,335,381,290,72,132,166,72
342,37,336,385,295,72,136,166,72
343,37,337,379,287,70,135,163,70
344,37,342,383,290,72,134,166,72
345,37,345,377,283,68,137,162,68
346,37,346,381,290,70,135,165,70
347,37,351,380,286,68,139,162,68
348,37,353,382,290,70,137,163,70
349,37,354,382,290,70,138,163,70
350,37,365,379,288,70,135,163,70
351,37,380,379,287,70,135,163,70
352,37,383,376,280,68,136,162,68
353,37,404,379,285,68,138,162,68
354,37,406,380,284,70,134,165,70
355,37,411,381,288,70,136,163,70
356,37,416,381,290,70,135,165,70
357,37,419,380,284,68,139,162,68
358,37,420,388,297,72,139,166,72
359,37,421,385,288,70,140,165,70
360,37,424,378,288,70,134,163,70
361,37,425,385,294,72,135,166,72
362,37,426,377,286,70,132,163,70
363,37,428,375,283,68,134,162,68
364,37,435,378,281,68,138,162,68
365,50,53,386,292,72,134,164,72
366,50,55,384,288,70,137,161,70
367,50,57,382,288,72,130,164,72
368,50,59,380,280,68,137,160,68
369,50,63,376,279,68,134,160,68
370,50,67,380,285,70,134,161,70
371,50,69,384,284,68,141,160,68
372,50,74,380,286,70,134,161,70
373,50,77,383,282,68,140,160,68
374,50,81,381,286,72,130,164,72
375,50,82,379,284,70,133,161,70
376,50,83,389,291,70,140,163,70
377,50,84,376,277,68,134,160,68
378,50,85,378,279,68,136,160,68
379,50,93,378,283,70,132,161,70
380,50,98,383,287,70,137,161,70
381,50,99,384,289,70,135,163,70
382,50,104,377,279,68,135,160,68
383,50,106,375,286,70,130,160,70
384,50,107,383,286,70,135,163,70
385,50,109,378,280,68,135,160,68
386,50,113,381,282,68,139,160,68
387,50,114,385,292,72,133,164,72
388,50,115,380,281,68,137,160,68
389,50,117,379,283,68,136,160,68
390,50,165,379,282,68,137,160,68
391,50,166,383,286,70,135,163,70
