,A,B,gates,depth,2-gates,Gates
55,23,345,551,403,108,"Counter({'sx': 251, 'rz': 181, 'cz': 108, 'x': 7, 'measure': 4})"
56,23,346,563,413,110,"Counter({'sx': 250, 'rz': 191, 'cz': 110, 'x': 8, 'measure': 4})"
57,23,351,560,411,110,"Counter({'sx': 250, 'rz': 188, 'cz': 110, 'x': 8, 'measure': 4})"
58,23,353,559,409,110,"Counter({'sx': 250, 'rz': 188, 'cz': 110, 'x': 7, 'measure': 4})"
59,23,354,553,405,108,"Counter({'sx': 251, 'rz': 184, 'cz': 108, 'x': 6, 'measure': 4})"
60,23,365,557,409,110,"Counter({'sx': 250, 'rz': 185, 'cz': 110, 'x': 8, 'measure': 4})"
61,23,380,558,408,108,"Counter({'sx': 250, 'rz': 189, 'cz': 108, 'x': 7, 'measure': 4})"
62,23,383,553,401,106,"Counter({'sx': 251, 'rz': 186, 'cz': 106, 'x': 6, 'measure': 4})"
63,23,404,556,407,110,"Counter({'sx': 250, 'rz': 185, 'cz': 110, 'x': 7, 'measure': 4})"
64,23,406,551,402,108,"Counter({'sx': 251, 'rz': 181, 'cz': 108, 'x': 7, 'measure': 4})"
65,23,411,551,402,108,"Counter({'sx': 251, 'rz': 182, 'cz': 108, 'x': 6, 'measure': 4})"
66,23,416,554,404,108,"Counter({'sx': 251, 'rz': 185, 'cz': 108, 'x': 6, 'measure': 4})"
67,23,419,558,410,110,"Counter({'sx': 250, 'rz': 187, 'cz': 110, 'x': 7, 'measure': 4})"
68,23,420,563,410,108,"Counter({'sx': 250, 'rz': 193, 'cz': 108, 'x': 8, 'measure': 4})"
69,23,421,552,405,108,"Counter({'sx': 251, 'rz': 182, 'cz': 108, 'x': 7, 'measure': 4})"
70,23,424,558,411,110,"Counter({'sx': 250, 'rz': 186, 'cz': 110, 'x': 8, 'measure': 4})"
71,23,425,555,408,110,"Counter({'sx': 250, 'rz': 184, 'cz': 110, 'x': 7, 'measure': 4})"
72,23,426,553,405,108,"Counter({'sx': 251, 'rz': 183, 'cz': 108, 'x': 7, 'measure': 4})"
73,23,428,553,406,110,"Counter({'sx': 250, 'rz': 182, 'cz': 110, 'x': 7, 'measure': 4})"
74,23,435,554,406,108,"Counter({'sx': 251, 'rz': 185, 'cz': 108, 'x': 6, 'measure': 4})"
75,32,35,542,396,108,"Counter({'sx': 249, 'rz': 175, 'cz': 108, 'x': 6, 'measure': 4})"
76,32,36,541,396,108,"Counter({'sx': 249, 'rz': 174, 'cz': 108, 'x': 6, 'measure': 4})"
77,32,37,548,402,110,"Counter({'sx': 248, 'rz': 179, 'cz': 110, 'x': 7, 'measure': 4})"
78,32,50,541,396,108,"Counter({'sx': 249, 'rz': 174, 'cz': 108, 'x': 6, 'measure': 4})"
79,32,53,548,403,108,"Counter({'sx': 249, 'rz': 180, 'cz': 108, 'x': 7, 'measure': 4})"
80,32,55,547,398,106,"Counter({'sx': 249, 'rz': 181, 'cz': 106, 'x': 7, 'measure': 4})"
81,32,57,545,400,110,"Counter({'sx': 248, 'rz': 176, 'cz': 110, 'x': 7, 'measure': 4})"
82,32,59,548,403,108,"Counter({'sx': 249, 'rz': 180, 'cz': 108, 'x': 7, 'measure': 4})"
83,32,63,546,395,106,"Counter({'sx': 249, 'rz': 180, 'cz': 106, 'x': 7, 'measure': 4})"
84,32,67,539,396,106,"Counter({'sx': 247, 'rz': 175, 'cz': 106, 'x': 7, 'measure': 4})"
85,32,69,547,402,108,"Counter({'sx': 248, 'rz': 180, 'cz': 108, 'x': 7, 'measure': 4})"
86,32,74,548,399,106,"Counter({'sx': 249, 'rz': 182, 'cz': 106, 'x': 7, 'measure': 4})"
87,32,77,543,398,108,"Counter({'sx': 249, 'rz': 176, 'cz': 108, 'x': 6, 'measure': 4})"
88,32,81,546,400,110,"Counter({'sx': 248, 'rz': 177, 'cz': 110, 'x': 7, 'measure': 4})"
89,32,82,540,395,106,"Counter({'sx': 249, 'rz': 175, 'cz': 106, 'x': 6, 'measure': 4})"
90,32,83,545,400,108,"Counter({'sx': 249, 'rz': 177, 'cz': 108, 'x': 7, 'measure': 4})"
91,32,84,546,401,108,"Counter({'sx': 249, 'rz': 178, 'cz': 108, 'x': 7, 'measure': 4})"
92,32,85,541,394,106,"Counter({'sx': 249, 'rz': 176, 'cz': 106, 'x': 6, 'measure': 4})"
93,32,93,545,396,106,"Counter({'sx': 249, 'rz': 180, 'cz': 106, 'x': 6, 'measure': 4})"
94,32,98,548,401,108,"Counter({'sx': 249, 'rz': 180, 'cz': 108, 'x': 7, 'measure': 4})"
95,32,99,543,399,108,"Counter({'sx': 249, 'rz': 176, 'cz': 108, 'x': 6, 'measure': 4})"
96,32,104,542,395,108,"Counter({'sx': 249, 'rz': 175, 'cz': 108, 'x': 6, 'measure': 4})"
97,32,106,545,396,106,"Counter({'sx': 249, 'rz': 180, 'cz': 106, 'x': 6, 'measure': 4})"
98,32,107,546,401,110,"Counter({'sx': 248, 'rz': 177, 'cz': 110, 'x': 7, 'measure': 4})"
